id;question_id;question;a;b;c;d;correct;image;image_fallback;category_name
;1;1. Układy sekwencyjne zbudowane z zespołu przerzutników, najczęściej synchronicznych typu D, służące do przechowywania danych, to;bramki;kodery;rejestry;dekodery;C;;;inf_02
;2;2. Transformator impulsowy w przedstawionym zasilaczu oznaczono symbolem;A;B;C;D;A;images/2.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/2.jpg;inf_02
;3;3. Na przedstawionej płycie głównej możliwy jest montaż procesora z obudową typu;LGA;PGA;SECC;SPGA;A;images/3.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/3.jpg;inf_02
;4;4. Kompatybilne podzespoły oznaczono w tabeli numerami;1, 3, 5;1, 4, 6;2, 4, 5;2, 4, 6;C;images/4.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/4.jpg;inf_02
;5;5. Przed rozpoczęciem modernizacji komputerów osobistych oraz serwerów, polegającej na dołożeniu nowych modułów pamięci RAM, należy sprawdzić;model pamięci RAM, maksymalną pojemność i liczbę modułów obsługiwaną przez płytę główną.;pojemność i rodzaj interfejsu dysku twardego oraz rodzaj gniazda zainstalowanej pamięci RAM.;producenta pamięci RAM oraz interfejsy zewnętrzne zainstalowanej płyty głównej.;gniazdo interfejsu karty graficznej oraz moc zainstalowanego zasilacza.;A;;;inf_02
;6;6. Do aktualizacji systemów Linux można wykorzystać programy;cron i mount;defrag i YaST;apt-get i zypper;aptitude i amaro;C;;;inf_02
;7;7. Aby umożliwić komunikację urządzenia mobilnego z komputerem przez interfejs Bluetooth, należy;skonfigurować urządzenie mobilne przez przeglądarkę.;połączyć urządzenia kablem krosowym.;utworzyć sieć WAN dla urządzeń.;wykonać parowanie urządzeń.;D;;;inf_02
;8;8. Która licencja ma charakter grupowy oraz umożliwia instytucjom komercyjnym lub organizacjom edukacyjnym, państwowym, charytatywnym zakup na korzystnych warunkach większej liczby oprogramowania firmy Microsoft?;MPL;OEM;APSL;MOLP;D;;;inf_02
;9;9. Topologia fizyczna sieci, w której jako medium transmisyjne stosuje się fale radiowe, jest nazywana topologią;ad-hoc;magistrali;pierścienia;CSMA/CD;A;;;inf_02
;10;10. Który ze standardów Gigabit Ethernet umożliwia budowę segmentów sieci o długości 550 m/5000 m z prędkością transmisji 1 Gb/s?;1000Base-T;1000Base-FX;1000Base-LX;1000Base-SX;C;;;inf_02
;11;11. Protokołem kontrolnym rodziny TCP/IP, którego rolą jest między innymi wykrywanie awarii urządzeń sieciowych, jest;FDDI;ICMP;IMAP;SMTP;B;;;inf_02
;12;12. Aby można było wykorzystać aparat telefoniczny PSTN do wykonywania połączeń za pomocą sieci komputerowej, należy go podłączyć do;modemu analogowego;mostka sieciowego;repetera sygnału;bramki VoIP;D;;;inf_02
;13;13. Wskaż narzędzie służące do mocowania pojedynczych żył kabla miedzianego w złączach.;A;B;C;D;B;images/13.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/13.jpg;inf_02
;14;14. Za pomocą programu Acrylic Wi-Fi Home wykonano test, którego wyniki przedstawiono na zrzucie. Na ich podstawie można stwierdzić, że dostępna sieć bezprzewodowa;jest nieszyfrowana.;korzysta z kanałów 10 ÷ 12.;ma bardzo dobrą jakość sygnału.;osiąga maksymalną szybkość transferu 72 Mbps.;A;images/14.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/14.jpg;inf_02
;15;15. Który adres IP należy do klasy A?;239.0.255.15;217.12.45.1;129.10.0.17;125.11.0.7;D;;;inf_02
;16;16. Wskaż adres rozgłoszeniowy sieci, do której należy host o adresie 88.89.90.91/6?;91.255.255.255;88.255.255.255;91.89.255.255;88.89.255.255;A;;;inf_02
;17;17. Aby w systemie Windows wykonać śledzenie trasy pakietów do serwera strony internetowej, należy wykorzystać polecenie;ping;tracert;netstat;iproute;B;;;inf_02
;18;18. Na schemacie obrazującym zasadę działania monitora plazmowego numerem 6 oznaczono;warstwę fosforową.;warstwę dielektryka.;elektrody adresujące.;elektrody wyświetlacza.;C;images/18.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/18.jpg;inf_02
;19;19. Na ilustracji zaznaczono strzałkami funkcję przycisków znajdujących się na obudowie projektora multimedialnego. Za pomocą tych przycisków można;przełączać sygnały wejściowe;regulować zniekształcony obraz.;zmieniać poziom jasności obrazu.;regulować odwzorowanie przestrzeni kolorów;B;images/19.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/19.jpg;inf_02
;20;20. Pierwszą czynnością niezbędną do zabezpieczenia rutera przed dostępem do jego panelu konfiguracyjnego przez osoby niepowołane jest;włączenie filtrowania adresów MAC.;włączenie szyfrowania kluczem WEP;zmiana domyślnej nazwy sieci (SSID) na unikatową;zmiana nazwy login i hasła wbudowanego konta administratora.;D;;;inf_02
;21;21. Aby wyczyścić z kurzu wnętrze obudowy drukarki fotograficznej, należy użyć;sprężonego powietrza w pojemniku z wydłużoną rurką.;szczotki z twardym włosiem;opaski antystatycznej.;środka smarującego.;A;;;inf_02
;22;22. Na podstawie zrzutu ekranu przedstawiającego konfigurację przełącznika można stwierdzić, że;czas między wysyłaniem kolejnych komunikatów o poprawnej pracy urządzenia wynosi 3 sekundy.;maksymalny czas krążenia w sieci komunikatów protokołu BPDU wynosi 20 sekund.;minimalny czas krążenia w sieci komunikatów protokołu BPDU wynosi 25 sekund.;maksymalny czas pomiędzy zmianami statusu łącza wynosi 5 sekund.;A;images/22.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/22.jpg;inf_02
;23;23. Przedstawione polecenia, uruchomione w interfejsie CLI rutera firmy CISCO, spowodują;dopuszczenie ruchu pochodzącego z sieci o adresie 10.0.0.1;określenie puli adresów wewnętrznych 10.0.0.1 ÷ 255.255.255.0;ustawienie interfejsu zewnętrznego o adresie 10.0.0.1/24 dla technologii NAT;ustawienie interfejsu wewnętrznego o adresie 10.0.0.1/24 dla technologii NAT;D;images/23.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/23.jpg;inf_02
;24;24. Schemat przedstawia zasadę działania sieci VPN o nazwie;Client - to -Site;Site - to - Site;Gateway;L2TP;B;images/24.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/24.jpg;inf_02
;25;25. Przedstawione narzędzie może być wykorzystane do;podgrzania i zamontowania elementu elektronicznego.;sprawdzenia długości badanego kabla sieciowego.;pomiaru wartości napięcia w zasilaczu;utrzymania drukarki w czystości.;C;images/25.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/25.jpg;inf_02
;26;26. Wskaż program systemu Linux, służący do kompresji danych.;arj;tar;gzip;shar;C;;;inf_02
;27;27. Wskaż sygnał oznaczający błąd karty graficznej komputera wyposażonego w BIOS POST firmy AWARD.;1 długi, 1 krótki.;1 długi, 2 krótkie.;1 długi, 5 krótkich.;1 długi, 9 krótkich.;B;;;inf_02
