id;question_id;question;a;b;c;d;correct;image;image_fallback;category_id
;1;1. Którego polecenia nalezy użyć, aby wyraz TEKST został wyświetleny w kolorze czarnym w oknie przeglądarki internetowej?;"<body color=""black""> TEKST </font>";"<font color=""czarny""> TEKST </font>";"<font color=""#000000""> TEKST </font>";"<body bgcolor=""black""> TEKST </body>";C;;;202
;2;2. W poleceniach, których celem jest odtwarzanie na stronie internetowej dźwięku jako podkładu muzycznego NIE wykorzystuje się atrybutu;"loop=""10""";"balance=""-10""";"volume=""-100""";"href=""C:/100.wav""";D;;;201
;3;3. Jakiego znacznika należy użyć, aby przejść do kolejnej linii tekstu, nie tworząc akapitu na stronie internetowej?;<p>;</b>;<br>;</br>;C;;;201
;4;4. Kaskadowe arkusze stylów tworzy się w celu;ułatwienia formatowania strony;nadpisywania wartości znaczników już ustawionych na stronie;połączenia struktury dokumentu strony z właściwą formą jego prezentacji;blokowania jakichkolwiek zmian w wartościach znaczników już przypisanych w pliku CSS;A;;;207
;5;5. W podanej regule CSS: h1 {color: blue} h1 oznacza;klasę;wartość;selektor;deklarację;C;;;202
;6;6. Edytor spełniający założenia WYSIWYG musi umożliwiać;tworzenie podstawowej grafiki wektorowej;publikację strony na serwerze poprzez wbudowanego klienta FTP;obróbkę plików dźwiękowych przed umieszczeniem ich na stronie internetowej;uzyskanie zbliżonego wyniku tworzenej strony do jej obrazu w przegladarce interenetowej;D;;;207
;7;7. Do graficznego tworzenia stron internetowych należy wykorzystać.;edytor CSS;przeglądarkę internetową;program typu WYSIWYG;program MS Office Picture Manager;C;;;207
;8;8. W procesie walidacji stron internetowych nie bada się;działania linków;błędów składni kodu;zgodności z przeglądarkami;źródła pochodzenia narzędzi edytorskich;D;;;202
;9;9. Model opisu przestrzeni barw o parametrach: odcień, nasycenie i jasność, to;HSV;RGB;CMY;CMYK;A;;;207
;10;10. Wskaż model barw, który stosuje się do wyświetlania kolorów na ekranie monitora komputerowego;HLS;RGB;CMY;CMYK;B;;;202
